Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,SalaryAdj
Steven Adams,C,27,NOP,58,58,1605,189,308,0.614,0,3,0.0,189,305,0.62,0.614,60,135,0.444,213,301,514,111,54,38,78,113,438,0.01,9.1,2.2,-0.3,0.1,20.4,1.7,0.438,-0.4,14.4,2.3,15.1,1.6,17.5,17.4,0.596,11.7,0.7,4.0,0.119,17073171.0,18619958.0
Bam Adebayo,C,23,MIA,64,64,2143,456,800,0.57,2,8,0.25,454,792,0.573,0.571,283,354,0.799,142,431,573,346,75,66,169,145,1197,0.01,26.9,3.2,4.9,2.0,22.6,3.2,0.443,2.9,7.7,5.6,22.7,1.7,15.0,15.3,0.626,23.7,3.7,8.8,0.197,28103500.0,30649609.0
LaMarcus Aldridge,C,35,TOT,26,23,674,140,296,0.473,31,80,0.388,109,216,0.505,0.525,41,47,0.872,19,99,118,49,11,29,27,47,352,0.27,11.0,3.7,-0.3,-0.2,15.8,0.6,0.159,-0.2,3.0,0.5,15.7,0.8,7.9,9.4,0.556,22.2,0.3,1.1,0.08,2641691.0,2881021.0
Nickeil Alexander-Walker,SG,22,NOP,46,13,1007,192,458,0.419,76,219,0.347,116,239,0.485,0.502,48,66,0.727,13,131,144,102,47,22,69,88,508,0.478,14.7,2.1,-1.3,0.1,14.1,1.0,0.144,-1.4,1.4,-0.3,12.5,2.2,12.4,7.8,0.522,23.2,0.2,0.7,0.035,3261480.0,3556962.0
Grayson Allen,SG,25,MEM,50,38,1259,173,414,0.418,107,274,0.391,66,140,0.471,0.547,79,91,0.868,19,141,160,108,46,8,48,71,532,0.662,11.5,0.6,-0.2,0.1,12.0,1.2,0.22,-0.2,1.6,1.5,12.8,1.7,9.6,6.7,0.586,16.8,0.6,2.7,0.101,4054695.0,4422040.0
Jarrett Allen,C,22,TOT,63,45,1864,298,482,0.618,6,19,0.316,292,463,0.631,0.624,204,290,0.703,196,435,631,106,32,90,100,96,806,0.039,8.7,4.3,1.1,-0.2,26.3,2.1,0.602,1.3,11.6,4.3,20.1,0.8,14.1,18.9,0.661,16.6,1.4,6.4,0.166,20000000.0,21811951.0
Al-Farouq Aminu,PF,30,TOT,23,14,434,38,99,0.384,8,37,0.216,30,62,0.484,0.424,18,22,0.818,22,88,110,31,19,9,28,29,102,0.374,10.1,1.9,-3.8,1.1,21.9,0.5,0.222,-4.9,5.1,-0.4,8.9,2.1,20.5,13.3,0.469,13.6,-0.2,0.1,0.01,10335621.0,11272002.0
Kyle Anderson,PF,27,MEM,69,69,1887,308,658,0.468,94,261,0.36,214,397,0.539,0.54,144,184,0.783,52,344,396,250,84,57,86,120,854,0.397,18.3,2.7,3.3,1.9,19.5,2.7,0.28,1.4,2.9,2.9,17.2,2.1,10.4,11.1,0.578,18.5,2.5,5.6,0.143,9937150.0,10837431.0
Giannis Antetokounmpo,PF,26,MIL,61,61,2013,626,1100,0.569,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717,0.201,28.7,3.2,9.0,2.8,28.9,3.3,0.528,6.2,5.3,6.9,29.2,1.7,13.2,17.5,0.633,32.5,5.6,10.2,0.244,39344900.0,42909452.0
Thanasis Antetokounmpo,SF,28,MIL,57,3,551,67,137,0.489,7,29,0.241,60,108,0.556,0.515,25,49,0.51,54,70,124,46,22,10,43,74,166,0.212,10.3,1.6,-3.5,0.2,12.9,0.6,0.358,-3.7,10.7,0.0,10.3,1.9,21.3,11.8,0.523,15.3,-0.2,0.7,0.057,1729217.0,1885879.0
Carmelo Anthony,PF,36,POR,69,3,1690,327,777,0.421,133,325,0.409,194,452,0.429,0.506,137,154,0.89,32,182,214,104,46,38,61,144,924,0.418,9.2,2.0,-1.1,-1.3,11.8,0.8,0.198,0.2,2.0,1.7,14.6,1.3,6.7,6.8,0.547,23.1,0.4,2.6,0.073,2641691.0,2881021.0
Cole Anthony,PG,20,ORL,47,34,1273,219,552,0.397,58,172,0.337,161,380,0.424,0.449,109,131,0.832,38,183,221,192,30,18,106,98,605,0.312,24.2,1.3,-3.3,-1.4,15.4,0.9,0.237,-1.9,3.0,-0.9,12.1,1.1,14.8,9.0,0.496,24.3,-0.4,0.0,-0.001,3449400.0,3761907.0
OG Anunoby,SF,23,TOR,43,43,1433,249,519,0.48,104,261,0.398,145,258,0.562,0.58,80,102,0.784,54,183,237,94,66,32,75,114,682,0.503,10.1,2.2,1.2,0.4,14.6,1.6,0.197,0.8,4.0,1.5,15.4,2.2,11.7,9.1,0.605,19.3,1.2,3.1,0.104,16071429.0,17527461.0
Ryan Arcidiacono,PG,26,CHI,44,0,450,49,117,0.419,25,67,0.373,24,50,0.48,0.526,13,20,0.65,5,62,67,56,9,0,10,47,136,0.573,16.3,0.0,-2.3,0.3,15.1,0.4,0.171,-2.6,1.2,0.5,9.8,1.0,7.4,8.3,0.541,13.1,0.0,0.9,0.093,774727.0,844915.0
Trevor Ariza,SF,35,MIA,30,27,841,99,241,0.411,50,143,0.35,49,98,0.5,0.515,34,44,0.773,27,117,144,55,31,18,21,55,282,0.593,9.4,2.2,-1.1,0.1,15.6,1.0,0.183,-1.2,3.7,0.5,11.9,1.8,7.5,9.8,0.542,15.1,0.2,1.6,0.091,2641691.0,2881021.0
Deni Avdija,SF,20,WAS,54,32,1257,130,312,0.417,53,168,0.315,77,144,0.535,0.502,29,45,0.644,22,240,262,63,32,15,33,140,342,0.538,6.3,1.0,-3.1,0.4,20.2,1.2,0.144,-3.6,1.9,0.0,7.6,1.2,9.0,11.0,0.515,12.0,-0.4,1.2,0.046,4692840.0,5117999.0
Deandre Ayton,C,22,PHO,69,69,2115,430,687,0.626,4,20,0.2,426,667,0.639,0.629,133,173,0.769,228,499,727,99,41,81,103,196,997,0.029,6.8,3.4,1.2,0.1,26.3,3.1,0.252,1.1,12.4,5.3,20.3,1.0,11.9,19.5,0.653,18.2,1.7,8.4,0.191,12632950.0,13777464.0
Udoka Azubuike,C,21,UTA,15,0,57,4,9,0.444,0,0,0.0,4,9,0.444,0.444,8,10,0.8,4,9,13,0,1,4,3,9,16,0.0,0.0,5.7,-3.8,1.7,16.0,0.1,1.111,-5.5,7.8,0.0,10.3,0.9,18.3,12.1,0.597,12.4,0.0,0.1,0.119,2075880.0,2263949.0
LaMelo Ball,PG,19,CHO,51,31,1469,293,672,0.436,92,261,0.352,201,411,0.489,0.504,125,165,0.758,63,239,302,313,81,18,145,136,803,0.388,33.9,1.2,1.8,0.7,17.9,1.9,0.246,1.1,4.6,1.0,17.5,2.7,16.3,11.1,0.539,26.1,1.4,2.8,0.093,8231760.0,8977537.0
Lonzo Ball,PG,23,NOP,55,55,1747,290,700,0.414,172,455,0.378,118,245,0.482,0.537,50,64,0.781,33,230,263,316,82,31,123,103,802,0.65,25.4,1.7,1.7,0.3,14.3,1.7,0.091,1.4,2.1,1.5,15.2,2.3,14.5,8.2,0.551,20.5,1.6,3.2,0.089,18604651.0,20290187.0
Mo Bamba,C,22,ORL,46,5,725,142,301,0.472,38,118,0.322,104,183,0.568,0.535,45,66,0.682,76,189,265,35,14,58,36,87,367,0.392,8.1,7.3,0.1,0.0,28.0,1.1,0.219,0.2,10.5,0.7,19.3,0.9,9.8,19.0,0.556,21.8,0.4,1.8,0.117,7568743.0,8254452.0
Desmond Bane,SG,22,MEM,68,17,1519,234,499,0.469,117,271,0.432,117,228,0.513,0.586,40,49,0.816,31,179,210,118,41,16,59,125,625,0.543,10.6,0.9,-0.8,-0.2,12.6,1.3,0.098,-0.6,2.1,1.6,12.2,1.3,10.2,7.3,0.6,16.1,0.5,2.9,0.093,2033160.0,2217359.0
Harrison Barnes,PF,28,SAC,58,58,2102,319,642,0.497,100,256,0.391,219,386,0.567,0.575,195,235,0.83,64,321,385,201,43,11,93,75,933,0.399,13.0,0.4,0.2,-1.3,17.2,0.5,0.366,1.5,3.3,4.0,15.4,1.0,11.1,10.2,0.626,17.2,1.1,4.5,0.103,20284091.0,22121780.0
RJ Barrett,SG,20,NYK,72,72,2511,467,1060,0.441,124,309,0.401,343,751,0.457,0.499,206,276,0.746,68,346,414,217,53,20,139,188,1264,0.292,13.8,0.8,-1.2,-0.3,14.8,3.1,0.26,-0.9,3.0,0.9,13.4,1.1,10.5,8.9,0.535,23.4,0.5,4.1,0.078,8623920.0,9405226.0
Will Barton,SF,30,DEN,56,52,1736,259,608,0.426,98,257,0.381,161,351,0.459,0.507,95,121,0.785,39,187,226,181,50,23,96,95,711,0.423,14.1,1.3,-1.9,-0.8,12.2,1.5,0.199,-1.0,2.6,0.7,11.8,1.4,12.7,7.4,0.538,19.0,0.1,2.2,0.061,15625000.0,17040587.0
Keita Bates-Diop,SF,25,SAS,30,0,245,30,67,0.448,5,17,0.294,25,50,0.5,0.485,14,21,0.667,9,40,49,12,11,5,7,11,79,0.254,6.6,1.7,-1.9,0.4,17.7,0.3,0.313,-2.3,3.8,0.1,12.0,2.2,8.4,10.6,0.518,14.8,0.0,0.3,0.068,1729217.0,1885879.0
Nicolas Batum,SF,32,LAC,67,38,1835,191,412,0.464,110,272,0.404,81,140,0.579,0.597,48,58,0.828,50,266,316,148,69,37,53,102,540,0.66,10.5,1.8,2.1,1.5,15.9,2.3,0.141,0.6,3.2,2.7,12.9,1.9,10.8,9.7,0.617,11.8,1.9,5.0,0.132,12026998.0,13116613.0
Kent Bazemore,SF,31,GSW,67,18,1333,176,392,0.449,75,184,0.408,101,208,0.486,0.545,54,78,0.692,26,203,229,108,69,33,82,158,481,0.469,11.1,2.2,-1.2,1.7,16.0,2.1,0.199,-2.9,2.1,-0.2,10.6,2.4,16.1,9.1,0.564,16.3,0.2,1.8,0.065,2401537.0,2619110.0
Darius Bazley,PF,20,OKC,55,55,1714,273,690,0.396,83,286,0.29,190,404,0.47,0.456,125,178,0.702,51,345,396,99,29,25,122,60,754,0.414,8.9,1.3,-4.4,-1.3,21.2,1.4,0.258,-3.1,3.1,-2.3,9.7,0.8,13.7,12.0,0.491,22.1,-1.0,-0.9,-0.026,2513040.0,2740715.0
Bradley Beal,SG,27,WAS,60,60,2147,670,1382,0.485,130,373,0.349,540,1009,0.535,0.532,408,459,0.889,72,211,283,265,69,22,187,140,1878,0.27,21.3,0.9,3.4,-1.4,10.4,1.7,0.332,4.8,3.6,4.2,22.7,1.5,10.6,7.0,0.593,34.1,2.9,5.9,0.132,33724200.0,36779530.0
Malik Beasley,SG,24,MIN,37,36,1214,264,600,0.44,128,321,0.399,136,279,0.487,0.547,68,80,0.85,28,134,162,88,30,7,60,62,724,0.535,11.6,0.5,-0.2,-1.8,12.4,0.4,0.133,1.6,2.4,0.9,14.6,1.2,8.6,7.2,0.57,24.0,0.6,1.3,0.053,14491964.0,15804900.0
Jordan Bell,C,26,TOT,6,1,82,7,22,0.318,0,2,0.0,7,20,0.35,0.318,1,2,0.5,7,17,24,7,3,5,4,7,15,0.091,10.6,5.2,-5.8,0.1,21.9,0.1,0.091,-5.9,9.1,-0.1,8.0,1.7,14.9,15.5,0.328,13.6,-0.1,0.0,-0.008,102831.0,112147.0
Patrick Beverley,PG,32,LAC,37,34,832,93,220,0.423,56,141,0.397,37,79,0.468,0.55,36,45,0.8,29,90,119,76,29,28,34,108,278,0.641,12.0,3.0,0.7,1.4,11.8,1.0,0.205,-0.7,4.0,1.0,12.0,1.7,12.4,8.0,0.58,14.6,0.6,2.1,0.119,14320987.0,15618433.0
Saddiq Bey,SF,21,DET,70,53,1909,279,691,0.404,175,460,0.38,104,231,0.45,0.53,124,147,0.844,43,275,318,95,52,14,60,110,857,0.666,7.6,0.6,-0.5,-0.8,16.2,1.7,0.213,0.3,2.5,1.6,12.6,1.3,7.4,9.3,0.567,18.7,0.7,3.3,0.082,2824320.0,3080196.0
Khem Birch,C,28,TOT,67,22,1529,189,380,0.497,13,52,0.25,176,328,0.537,0.514,91,129,0.705,174,213,387,89,48,50,44,113,482,0.137,8.5,3.1,-1.0,0.1,15.3,1.4,0.339,-1.0,11.6,2.3,15.1,1.5,9.2,13.4,0.552,13.6,0.4,3.8,0.118,6350000.0,6925294.0
Goga Bitadze,C,21,IND,45,3,561,83,194,0.428,20,79,0.253,63,115,0.548,0.479,45,61,0.738,60,90,150,37,9,60,17,94,231,0.407,8.9,8.7,-1.0,1.0,17.3,0.8,0.314,-2.0,11.7,0.7,16.3,0.8,7.1,14.5,0.523,18.1,0.1,1.5,0.129,3098400.0,3379107.0
Bismack Biyombo,C,28,CHO,66,36,1349,142,242,0.587,0,1,0.0,142,241,0.589,0.587,47,105,0.448,137,210,347,81,17,74,71,141,331,0.004,8.3,5.4,-3.0,0.4,17.1,1.4,0.434,-3.4,10.8,0.9,11.7,0.6,19.8,13.9,0.574,11.5,-0.4,2.3,0.081,1518213.0,1655759.0
Nemanja Bjelica,PF,32,TOT,37,3,595,89,196,0.454,27,85,0.318,62,111,0.559,0.523,37,51,0.725,29,98,127,69,15,5,33,68,242,0.434,16.2,0.8,-2.2,-0.8,18.5,0.3,0.26,-1.4,5.4,0.5,12.9,1.2,13.1,11.9,0.554,18.4,0.0,0.9,0.071,2089448.0,2278746.0
Eric Bledsoe,SG,31,NOP,71,70,2111,307,730,0.421,121,355,0.341,186,375,0.496,0.503,134,195,0.687,29,215,244,268,55,24,114,112,869,0.486,17.3,1.1,-2.0,-0.9,11.1,1.3,0.267,-1.2,1.5,1.1,11.5,1.2,12.3,6.3,0.533,18.5,0.0,2.3,0.053,18125000.0,19767081.0
Keljin Blevins,SF,25,POR,17,0,75,5,20,0.25,2,8,0.25,3,12,0.25,0.3,0,0,0.0,3,7,10,4,2,0,5,8,12,0.4,6.7,0.0,-10.7,-2.3,10.3,0.0,0.0,-8.3,4.2,-0.2,-0.9,1.3,20.0,7.1,0.3,14.3,-0.2,-0.2,-0.137,462629.0,504542.0
Bol Bol,PF,21,DEN,32,2,160,25,58,0.431,9,24,0.375,16,34,0.471,0.509,10,15,0.667,0,24,24,7,3,10,13,14,69,0.414,6.0,6.1,-4.1,-0.3,16.9,0.2,0.259,-3.8,0.0,-0.2,9.4,0.9,16.8,8.5,0.534,21.2,-0.1,0.0,-0.004,2161152.0,2356947.0
Isaac Bonga,SF,21,WAS,40,8,432,30,81,0.37,13,47,0.277,17,34,0.5,0.451,5,8,0.625,18,48,66,23,11,9,22,63,78,0.58,6.5,1.7,-5.8,0.0,11.7,0.4,0.099,-5.8,4.4,-0.4,4.0,1.2,20.7,8.1,0.461,10.2,-0.4,0.0,-0.001,1729217.0,1885879.0
Devin Booker,SG,24,PHO,67,67,2270,623,1287,0.484,126,371,0.34,497,916,0.543,0.533,340,392,0.867,34,247,281,289,53,16,207,181,1712,0.288,20.6,0.6,0.3,-1.4,12.1,2.0,0.305,1.7,1.7,2.9,19.2,1.2,12.4,7.0,0.587,32.7,1.3,4.9,0.104,31650600.0,34518067.0
Chris Boucher,C,28,TOR,60,14,1453,288,560,0.514,90,235,0.383,198,325,0.609,0.595,152,193,0.788,117,287,404,63,35,111,46,166,818,0.42,6.9,7.6,3.3,0.6,22.5,2.1,0.345,2.7,8.5,4.0,21.9,1.2,6.7,15.3,0.634,20.5,2.0,6.1,0.201,7020000.0,7655995.0
Avery Bradley,SG,30,TOT,27,6,602,64,171,0.374,33,101,0.327,31,70,0.443,0.471,12,15,0.8,8,49,57,46,21,3,28,55,173,0.591,10.8,0.5,-5.4,-0.5,9.1,0.4,0.088,-4.9,1.4,-0.5,6.3,1.7,13.6,5.2,0.487,14.9,-0.5,-0.1,-0.008,2641691.0,2881021.0
Tony Bradley,C,23,TOT,42,8,684,131,197,0.665,0,3,0.0,131,194,0.675,0.665,38,55,0.691,85,154,239,37,15,30,33,61,300,0.015,8.5,3.9,1.3,0.1,24.0,1.0,0.279,1.2,13.3,1.8,20.7,1.0,13.0,18.6,0.678,15.8,0.6,2.7,0.192,1789256.0,1951358.0
Ignas Brazdeikis,SF,22,TOT,13,0,249,35,83,0.422,11,28,0.393,24,55,0.436,0.488,10,14,0.714,11,34,45,17,4,3,12,22,91,0.337,10.5,1.1,-5.3,-2.1,14.7,0.1,0.169,-3.2,4.5,-0.1,9.5,0.8,11.9,9.4,0.51,17.6,-0.2,0.1,0.016,462629.0,504542.0
Mikal Bridges,SF,24,PHO,72,72,2348,363,669,0.543,134,315,0.425,229,354,0.647,0.643,110,131,0.84,76,233,309,152,76,63,57,116,970,0.471,8.8,2.4,3.3,0.9,11.1,2.6,0.196,2.4,3.7,5.4,16.4,1.6,7.3,7.5,0.667,14.9,3.1,8.0,0.164,5557725.0,6061241.0
Miles Bridges,PF,22,CHO,66,19,1932,313,622,0.503,116,290,0.4,197,332,0.593,0.596,98,113,0.867,81,316,397,147,44,52,106,143,840,0.466,11.4,2.7,0.2,0.1,18.0,1.9,0.182,0.2,4.5,2.4,14.7,1.1,13.6,11.1,0.625,17.3,1.1,4.2,0.105,5421493.0,5912667.0
Oshae Brissett,SF,22,IND,21,16,519,73,151,0.483,33,78,0.423,40,73,0.548,0.593,50,65,0.769,29,86,115,18,19,20,10,32,229,0.517,4.6,3.1,0.6,-0.5,17.9,0.6,0.43,1.1,6.1,1.2,17.2,1.7,5.3,12.0,0.638,15.6,0.3,1.8,0.165,1701593.0,1855753.0
Malcolm Brogdon,PG,28,IND,56,56,1930,444,980,0.453,145,374,0.388,299,606,0.493,0.527,153,177,0.864,58,236,294,329,49,15,115,110,1186,0.382,25.7,0.6,2.1,-0.9,13.2,1.3,0.181,3.0,3.3,2.9,17.9,1.2,9.8,8.3,0.561,25.9,2.0,4.2,0.105,21700000.0,23665967.0
Armoni Brooks,SG,22,HOU,20,5,520,78,192,0.406,60,157,0.382,18,35,0.514,0.563,7,12,0.583,10,58,68,30,12,5,22,34,223,0.818,8.7,0.9,-3.2,-2.1,12.4,0.2,0.063,-1.1,2.0,0.1,10.4,1.1,10.0,7.0,0.565,17.9,-0.2,0.3,0.03,1739065.0,1896619.0
Dillon Brooks,SF,25,MEM,67,67,1997,432,1031,0.419,128,372,0.344,304,659,0.461,0.481,159,195,0.815,53,143,196,157,78,26,119,237,1151,0.361,11.7,1.2,-3.7,-1.1,7.7,1.8,0.189,-2.6,2.8,-0.5,12.1,1.9,9.6,5.2,0.515,26.1,-0.9,1.4,0.033,12200000.0,13305290.0
Bruce Brown,PG,24,BRK,65,37,1451,235,423,0.556,17,59,0.288,218,364,0.599,0.576,86,117,0.735,111,238,349,104,58,28,54,145,573,0.139,9.8,1.7,-0.1,0.2,17.2,1.5,0.277,-0.4,8.9,2.8,16.1,1.9,10.2,13.3,0.604,15.9,0.7,4.4,0.144,4736102.0,5165181.0
Jaylen Brown,SG,24,BOS,58,58,1999,538,1111,0.484,163,411,0.397,375,700,0.536,0.558,191,250,0.764,71,276,347,195,72,32,158,168,1430,0.37,16.5,1.5,2.5,-0.7,15.5,2.0,0.225,3.2,3.9,2.8,19.9,1.8,11.5,9.7,0.586,29.7,2.3,4.8,0.115,26758928.0,29183222.0
Moses Brown,C,21,OKC,43,32,920,146,268,0.545,0,0,0.0,146,268,0.545,0.545,78,126,0.619,154,229,383,10,31,47,43,93,370,0.0,1.7,4.5,-2.4,-1.2,26.2,1.3,0.47,-1.3,17.2,1.3,18.8,1.6,11.7,21.6,0.572,16.9,-0.1,2.6,0.138,1933909.0,2109116.0
Sterling Brown,SG,25,HOU,51,14,1229,150,335,0.448,91,215,0.423,59,120,0.492,0.584,25,31,0.806,38,186,224,72,38,12,41,97,416,0.642,8.4,0.9,-1.6,0.0,16.8,0.8,0.093,-1.6,3.2,1.0,11.1,1.5,10.5,9.7,0.597,13.5,0.1,1.8,0.071,3000000.0,3271792.0
Jalen Brunson,PG,24,DAL,68,12,1697,328,627,0.523,81,200,0.405,247,427,0.578,0.588,120,151,0.795,27,204,231,239,35,1,80,109,857,0.319,21.3,0.1,0.9,-0.6,13.1,1.1,0.241,1.5,1.8,3.9,17.1,1.0,10.3,7.5,0.618,20.2,1.2,5.1,0.143,1802057.0,1965319.0
Thomas Bryant,C,23,WAS,10,10,271,59,91,0.648,9,21,0.429,50,70,0.714,0.698,16,24,0.667,18,43,61,15,4,8,11,31,143,0.231,8.2,2.5,0.9,-0.6,16.8,0.2,0.264,1.4,7.1,0.7,18.7,0.7,9.8,11.9,0.704,17.2,0.2,1.0,0.171,8666667.0,9451846.0
Reggie Bullock,SF,29,NYK,65,64,1949,248,561,0.442,163,398,0.41,85,163,0.521,0.587,50,55,0.909,16,207,223,99,52,11,45,146,709,0.709,7.4,0.5,-0.1,0.8,11.4,2.3,0.098,-0.9,0.9,2.3,11.1,1.3,7.1,6.2,0.606,14.4,0.9,4.6,0.114,9536000.0,10399938.0
Trey Burke,PG,28,DAL,62,1,911,151,353,0.428,58,164,0.354,93,189,0.492,0.51,51,57,0.895,10,44,54,81,36,7,33,64,411,0.465,12.9,0.7,-1.8,-0.4,5.3,0.7,0.161,-1.4,1.2,0.7,12.6,1.9,8.0,3.3,0.544,20.0,0.0,1.4,0.071,3150000.0,3435382.0
Alec Burks,SG,29,NYK,49,5,1255,210,500,0.42,102,246,0.415,108,254,0.425,0.522,101,118,0.856,21,206,227,107,31,14,49,102,623,0.492,13.2,1.1,1.5,0.6,17.6,1.8,0.236,0.9,1.8,1.5,14.8,1.2,8.2,9.8,0.564,21.3,1.1,3.3,0.126,9536000.0,10399938.0
Jimmy Butler,SF,31,MIA,52,52,1745,366,736,0.497,25,102,0.245,341,634,0.538,0.514,359,416,0.863,94,265,359,369,108,18,109,71,1116,0.139,35.1,1.1,7.7,2.3,17.1,2.7,0.565,5.4,6.3,6.6,26.5,3.1,10.6,11.8,0.607,26.6,4.3,9.3,0.255,36016200.0,39279180.0
Devontae Cacok,PF,24,LAL,20,1,98,17,29,0.586,0,0,0.0,17,29,0.586,0.586,5,11,0.455,12,20,32,1,5,4,5,8,39,0.0,1.5,3.7,-1.0,0.4,22.8,0.2,0.379,-1.5,13.8,0.1,17.2,2.5,12.9,18.4,0.576,17.2,0.0,0.3,0.142,726128.0,791913.0
Kentavious Caldwell-Pope,SG,27,LAL,67,67,1902,218,506,0.431,120,293,0.41,98,213,0.46,0.549,97,112,0.866,27,152,179,127,62,26,66,114,653,0.579,9.2,1.2,-0.5,1.0,8.9,2.6,0.221,-1.6,1.6,1.6,10.7,1.6,10.6,5.3,0.588,14.2,0.7,4.2,0.107,13038862.0,14220151.0
Facundo Campazzo,PG,29,DEN,65,19,1425,120,315,0.381,76,216,0.352,44,99,0.444,0.502,80,91,0.879,22,112,134,232,79,14,73,132,396,0.686,20.2,1.0,-0.6,1.2,8.9,1.5,0.289,-1.7,1.8,1.6,11.6,2.7,17.1,5.3,0.558,13.1,0.5,3.1,0.105,3100000.0,3380852.0
Devin Cannady,PG,24,ORL,8,0,74,11,28,0.393,6,16,0.375,5,12,0.417,0.5,6,7,0.857,0,5,5,1,5,1,2,9,34,0.571,2.1,1.2,-3.1,1.0,7.3,0.1,0.25,-4.0,0.0,0.0,11.2,3.3,6.0,3.5,0.547,19.3,0.0,0.1,0.057,185578.0,202390.0
